5119.6471993836431  -5677.8385364485166 -9870.5848064157926 27072.9339823565751 18529.2486222085172 -21199.3802628007434
-5677.8385364485166 13128.6237362739066 14074.3717162245557 -11712.3887803824819-38928.45294077730075219.5764991980259  
-9870.5848064157926 14074.3717162245557 144674.8125601480715-91922.91545959285584045.4124917951885  80799.3893137569539 
27072.9339823565751 -11712.3887803824819-91922.9154595928558227389.702486119698713937.5850524367688 -196262.6967871684465
18529.2486222085172 -38928.45294077730074045.4124917951885  13937.5850524367688 151090.25091301667277273.0073293029000  
-21199.38026280074345219.5764991980259  80799.3893137569539 -196262.69678716844657273.0073293029000  172460.3001765823865
